siteid,sitename,longitudeeast,latitudenorth,longitudewest,latitudesouth,altitude,area,sitedescription,notes,recdatecreated,recdatemodified,geog,datasetid,collectionunitid,datasettypeid,datasetname,notes-2,recdatecreated-2,recdatemodified-2,embargoid,citation,doi
10330,Lac du Sommet,-70.66468,47.71662,-70.66573,47.71382,830,2,"The small shallow Lac du Sommet (0.02 km2, 4 m maximum depth, elevation of 830 m a.s.l., 47°43′N, 70°40′W) is located in the boreal forest north of the St Lawrence Estuary (Figure 1). It is of glacial origin and situated on granitic-gneissic bedrock of the Canadian Precambrian Shield in the Laurentian Mountains.",,2015-04-16 19:02:09,2016-05-18 21:10:02,0103000020E61000000100000005000000D47D00529BAA51C0889D29745EDB47408A93FB1D8AAA51C0889D29745EDB47408A93FB1D8AAA51C06BD44334BADB4740D47D00529BAA51C06BD44334BADB4740D47D00529BAA51C0889D29745EDB4740,15691,11686,1,,,2015-04-16 19:02:13,2015-04-16 19:02:13,,"Hausmann, S., I. Larocque-Tobler, P.J.H. Richard, R. Pienitz, G. St-Onge, and F. Fye. 2011. Diatom-inferred wind activity at Lac du Sommet, southern Québec, Canada: A multiproxy paleoclimate reconstruction based on diatoms, chironomids, and pollen for the past 9500 years. The Holocene 21(6):925-938. http://hol.sagepub.com/content/21/6/925.full.pdf+html. [DOI: 10.1177/0959683611400199]",10.1177/0959683611400199
10330,Lac du Sommet,-70.66468,47.71662,-70.66573,47.71382,830,2,"The small shallow Lac du Sommet (0.02 km2, 4 m maximum depth, elevation of 830 m a.s.l., 47°43′N, 70°40′W) is located in the boreal forest north of the St Lawrence Estuary (Figure 1). It is of glacial origin and situated on granitic-gneissic bedrock of the Canadian Precambrian Shield in the Laurentian Mountains.",,2015-04-16 19:02:09,2016-05-18 21:10:02,0103000020E61000000100000005000000D47D00529BAA51C0889D29745EDB47408A93FB1D8AAA51C0889D29745EDB47408A93FB1D8AAA51C06BD44334BADB4740D47D00529BAA51C06BD44334BADB4740D47D00529BAA51C0889D29745EDB4740,15692,11686,11,Lac du Sommet Diatom Data,,2015-04-16 19:02:20,2015-04-16 19:02:20,,"Hausmann, S., I. Larocque-Tobler, P.J.H. Richard, R. Pienitz, G. St-Onge, and F. Fye. 2011. Diatom-inferred wind activity at Lac du Sommet, southern Québec, Canada: A multiproxy paleoclimate reconstruction based on diatoms, chironomids, and pollen for the past 9500 years. The Holocene 21(6):925-938. http://hol.sagepub.com/content/21/6/925.full.pdf+html. [DOI: 10.1177/0959683611400199]",10.1177/0959683611400199
1729,Myrtle Lake,-93.37853,47.98645,-93.39207,47.97876,393,50,"Lake surrounded by peatland. Physiography: Red Lake lowlands. Surrounding vegetation: Sphagnum, Piceto-Chamaedophnetum.",,2013-09-30 14:03:01,2016-05-18 21:10:02,0103000020E6100000010000000500000089EFC4AC175957C00551F70148FD474083A3E4D5395857C00551F70148FD474083A3E4D5395857C0D1915CFE43FE474089EFC4AC175957C0D1915CFE43FE474089EFC4AC175957C00551F70148FD4740,1786,1728,3,,,2013-09-30 14:02:42,2013-09-30 14:02:42,,"Janssen, C.R. 1968. Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota. Canadian Journal of Botany 46(11):1397-1410. [DOI: 10.1139/b68-190]",10.1139/b68-190
1729,Myrtle Lake,-93.37853,47.98645,-93.39207,47.97876,393,50,"Lake surrounded by peatland. Physiography: Red Lake lowlands. Surrounding vegetation: Sphagnum, Piceto-Chamaedophnetum.",,2013-09-30 14:03:01,2016-05-18 21:10:02,0103000020E6100000010000000500000089EFC4AC175957C00551F70148FD474083A3E4D5395857C00551F70148FD474083A3E4D5395857C0D1915CFE43FE474089EFC4AC175957C0D1915CFE43FE474089EFC4AC175957C00551F70148FD4740,8423,1728,1,,,2013-09-30 14:02:42,2013-09-30 14:02:42,,"Janssen, C.R. 1968. Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota. Canadian Journal of Botany 46(11):1397-1410. [DOI: 10.1139/b68-190]",10.1139/b68-190
269,Billy's Lake,-94.54948,46.27186,-94.55363,46.2693,383,2.5,Shallow depression on St. Croix moraine. Physiography: rugged relief. Surrounding vegetation: white pine/hardwoods.,,2013-09-30 14:03:01,2016-05-18 21:10:02,0103000020E61000000100000005000000680586AC6EA357C00A68226C78224740977329AE2AA357C00A68226C78224740977329AE2AA357C0978BF84ECC224740680586AC6EA357C0978BF84ECC224740680586AC6EA357C00A68226C78224740,275,269,3,,,2013-09-30 14:02:42,2013-09-30 14:02:42,,"Jacobson, G.L., Jr., and E.C. Grimm. 1986. A numerical analysis of Holocene forest and prairie vegetation in central Minnesota. Ecology 67(4):958-966. [DOI: 10.2307/1939818]",10.2307/1939818
269,Billy's Lake,-94.54948,46.27186,-94.55363,46.2693,383,2.5,Shallow depression on St. Croix moraine. Physiography: rugged relief. Surrounding vegetation: white pine/hardwoods.,,2013-09-30 14:03:01,2016-05-18 21:10:02,0103000020E61000000100000005000000680586AC6EA357C00A68226C78224740977329AE2AA357C00A68226C78224740977329AE2AA357C0978BF84ECC224740680586AC6EA357C0978BF84ECC224740680586AC6EA357C00A68226C78224740,7929,269,1,,,2013-09-30 14:02:42,2013-09-30 14:02:42,,"Jacobson, G.L., Jr., and E.C. Grimm. 1986. A numerical analysis of Holocene forest and prairie vegetation in central Minnesota. Ecology 67(4):958-966. [DOI: 10.2307/1939818]",10.2307/1939818
1598,Lake of the Clouds,-91.10962,48.14638,-91.11546,48.13873,462,11.6,"Lake with two basins. Physiography: rugged, steep slopes and cliffs. Surrounding vegetation: Pinus banksiana, Fraxinus, Acer, Alnus, Cornus.",Minnesota DNR Lake ID: 38016900.,2013-09-30 14:03:01,2017-12-18 19:05:37,0103000020E61000000100000005000000C1FF56B263C756C0AF7C96E7C111484034BF9A0304C756C0AF7C96E7C111484034BF9A0304C756C0ED647094BC124840C1FF56B263C756C0ED647094BC124840C1FF56B263C756C0AF7C96E7C1114840,1649,1597,3,,Sample depths from core descriptions in LRC files. A reliable radiocarbon chronology does not seem possible (ECG).,2013-09-30 14:02:42,2013-09-30 14:02:42,,"Craig, A.J. 1972. Pollen influx to laminated sediments: a pollen diagram from northeastern Minnesota. Ecology 53(1):46-57. [DOI: 10.2307/1935709]",10.2307/1935709
1598,Lake of the Clouds,-91.10962,48.14638,-91.11546,48.13873,462,11.6,"Lake with two basins. Physiography: rugged, steep slopes and cliffs. Surrounding vegetation: Pinus banksiana, Fraxinus, Acer, Alnus, Cornus.",Minnesota DNR Lake ID: 38016900.,2013-09-30 14:03:01,2017-12-18 19:05:37,0103000020E61000000100000005000000C1FF56B263C756C0AF7C96E7C111484034BF9A0304C756C0AF7C96E7C111484034BF9A0304C756C0ED647094BC124840C1FF56B263C756C0ED647094BC124840C1FF56B263C756C0AF7C96E7C1114840,3482,3379,3,,Sample depths corrected in January 2018 by E.C. Grimm based on Appendix 1 in Craig's 1969 thesis.,2013-09-30 14:02:42,2018-01-25 23:58:54,,"Craig, A.J. 1972. Pollen influx to laminated sediments: a pollen diagram from northeastern Minnesota. Ecology 53(1):46-57. [DOI: 10.2307/1935709]",10.2307/1935709
1598,Lake of the Clouds,-91.10962,48.14638,-91.11546,48.13873,462,11.6,"Lake with two basins. Physiography: rugged, steep slopes and cliffs. Surrounding vegetation: Pinus banksiana, Fraxinus, Acer, Alnus, Cornus.",Minnesota DNR Lake ID: 38016900.,2013-09-30 14:03:01,2017-12-18 19:05:37,0103000020E61000000100000005000000C1FF56B263C756C0AF7C96E7C111484034BF9A0304C756C0AF7C96E7C111484034BF9A0304C756C0ED647094BC124840C1FF56B263C756C0ED647094BC124840C1FF56B263C756C0AF7C96E7C1114840,3483,3380,3,,The pollen counts are from the same core as LKCLDSH. The actual depths are not known; samples were recorded as varve counts.,2013-09-30 14:02:42,2013-09-30 14:02:42,,"Craig, A.J. 1972. Pollen influx to laminated sediments: a pollen diagram from northeastern Minnesota. Ecology 53(1):46-57. [DOI: 10.2307/1935709]",10.2307/1935709
203,Anderson Pond,-85.49868,36.03275,-85.50396,36.02755,303,34.8,,,2013-09-30 14:03:01,2016-05-18 21:10:02,0103000020E61000000100000005000000809F71E1406055C09D8026C286034240D5CA845FEA5F55C09D8026C286034240D5CA845FEA5F55C0D578E92631044240809F71E1406055C0D578E92631044240809F71E1406055C09D8026C286034240,203,203,3,,,2013-09-30 14:02:42,2013-09-30 14:02:42,,"Delcourt, H.R. 1979. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Ecological Monographs 49(3):255-280. [DOI: 10.2307/1942485]",10.2307/1942485
