         20310937 function calls (20131082 primitive calls) in 26.276 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3891788   10.279    0.000   12.854    0.000 {method 'sub' of 're.Pattern' objects}
   230066    1.937    0.000    3.760    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1333(_slices_from_text)
  3205046    1.470    0.000    1.470    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:307(_subx)
        2    1.283    0.642   24.616   12.308 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:952(_count_vocab)
   123271    0.918    0.000   13.784    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/treebank.py:117(tokenize)
   480870    0.596    0.000    0.864    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_parse.py:1036(expand_template)
        1    0.552    0.552    0.612    0.612 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
   106642    0.397    0.000    1.682    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:222(normalize_resource_name)
   499395    0.375    0.000    0.375    0.000 {method 'split' of 'str' objects}
   106641    0.370    0.000    0.427    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/compat.py:211(add_py3_data)
   106643    0.314    0.000    0.527    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/posixpath.py:338(normpath)
   106641    0.294    0.000    2.458    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:166(normalize_resource_url)
   480870    0.241    0.000    1.105    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:313(filter)
   106640    0.233    0.000    3.255    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:780(load)
   106640    0.210    0.000   13.994    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/__init__.py:146(<listcomp>)
   229911    0.206    0.000    4.175    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1348(_realign_boundaries)
    87016    0.198    0.000    0.429    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:399(__init__)
