_gddid	title	year	intersection_words_lat	expected_lat	intersection_words_long	expected_long	_id	link_url
54b4324fe138239d8684afb2	Phylogeographic analysis of the mid-Holocene Mammoth from Qagnaxˆ Cave, St. Paul Island, Alaska	2009	[]	['57']	[]	['170']	10.1016/j.palaeo.2008.12.019	http://www.sciencedirect.com/science/article/pii/S0031018208006743
54b43266e138239d8684f177	Current perspectives on the Pleistocene archaeology of eastern Beringia	2003	[]	['67']	[]	['139']	10.1016/S0033-5894(03)00070-X	http://www.sciencedirect.com/science/article/pii/S003358940300070X
54b43267e138239d8684f372	Holocene Tree Line and Climate Change on the Queen Charlotte Islands, Canada	1997	[]	['53', '54', '52']	[]	['131', '132']	10.1006/qres.1997.1903	http://www.sciencedirect.com/science/article/pii/S0033589497919037
54b43268e138239d8684f566	Revised age of deglaciation of Lake Emma based on new radiocarbon and macrofossil analyses	1991	[]	['37']	[]	['107']	10.1016/0033-5894(91)90005-P	http://www.sciencedirect.com/science/article/pii/003358949190005P
54b43269e138239d8684f969	Environmental changes during the past 2000 years in north-central Wisconsin: Analysis of pollen, charcoal, and seeds from varved lake sediments	1978	[]	['46']	[]	['89']	10.1016/0033-5894(78)90013-3	http://www.sciencedirect.com/science/article/pii/0033589478900133
54f4a4c6e13823054496a01f	Paleoecology and high-resolution paleohydrology of a kettle peatland in upper Michigan	2004	[]	['46']	[]	['86']	10.1016/j.yqres.2003.07.013	http://www.sciencedirect.com/science/article/pii/S0033589403001340
54f4a5f7e13823054496a028	Latest Pleistocene paleoecology of Jefferson's ground sloth (Megalonyx jeffersonii) and elk-moose (Cervalces scotti) in northern Illinois	2004	[]	['41']	[]	['89']	10.1016/j.yqres.2003.10.005	http://www.sciencedirect.com/science/article/pii/S0033589403001662
550706d8e1382326932d93b6	Proboscideans and paleoenvironments of the Pleistocene Great Lakes: landscape, vegetation, and stable isotopes	2013	[]	['42']	[]	['81']	10.1016/j.quascirev.2013.07.004	http://www.sciencedirect.com/science/article/pii/S0277379113002618
55c90b5ecf58f1a8110ba793	Environmental changes on Yugorski Peninsula, Kara Sea, Russia, during the last 12,800 radiocarbon years	2001	[]	['69']	[]	['62']	10.1016/S0921-8181(01)00123-0	http://www.sciencedirect.com/science/article/pii/S0921818101001230
56b4cd4dcf58f14c238d2fd7	Taphonomic analysis, associational integrity, and depositional history of the Fetterman Mammoth, eastern Wyoming, U.S.A.	2002	[]	['42']	[]	['105']	10.1002/gea.10020	http://doi.wiley.com/10.1002/gea.10020
56f8f62ccf58f1710ac939e0	Contrasting pollen histories of MIS 5e and the Holocene from Lake Titicaca (Bolivia/Peru)	2005	[]	['-16']	[]	['68']	10.1002/jqs.979	http://doi.wiley.com/10.1002/jqs.979
571b5bf3cf58f1382fed3dd1	Holocene Climate in the Western Great Lakes National Parks and Lakeshores: Implications for Future Climate Change	2000	[]	['46']	[]	['91']	10.1046/j.1523-1739.2000.99219.x	http://doi.wiley.com/10.1046/j.1523-1739.2000.99219.x
