         20310945 function calls (20131090 primitive calls) in 25.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3891788    9.912    0.000   12.486    0.000 {method 'sub' of 're.Pattern' objects}
   230066    1.871    0.000    3.682    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1333(_slices_from_text)
  3205046    1.516    0.000    1.517    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:307(_subx)
        2    1.263    0.631   24.036   12.018 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:952(_count_vocab)
   123271    0.905    0.000   13.429    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/treebank.py:117(tokenize)
   480870    0.570    0.000    0.835    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_parse.py:1036(expand_template)
        1    0.461    0.461    0.496    0.496 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
   106641    0.402    0.000    0.457    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/compat.py:211(add_py3_data)
   106642    0.381    0.000    1.557    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:222(normalize_resource_name)
   499395    0.368    0.000    0.368    0.000 {method 'split' of 'str' objects}
   106643    0.294    0.000    0.458    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/posixpath.py:338(normpath)
   106641    0.289    0.000    2.374    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:166(normalize_resource_url)
   106642    0.241    0.000    0.279    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:139(split_resource_url)
   106640    0.234    0.000    3.201    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:780(load)
   480870    0.222    0.000    1.057    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:313(filter)
   106640    0.206    0.000   22.228    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:351(<lambda>)
   106640    0.196    0.000   13.625    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/__init__.py:146(<listcomp>)
   229911    0.195    0.000    4.074    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1348(_realign_boundaries)
  401/382    0.192    0.000    0.193    0.001 {built-in method numpy.array}
344623/230066    0.188    0.000    3.870    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:310(_pair_iter)
    87016    0.185    0.000    0.432    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:399(__init__)
   694253    0.179    0.000    0.179    0.000 {method 'join' of 'str' objects}
   121478    0.170    0.000    0.792    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:552(_tokenize_words)
   106640    0.168    0.000    0.168    0.000 {method 'extend' of 'array.array' objects}
  1169236    0.167    0.000    0.167    0.000 {method 'group' of 're.Match' objects}
    87016    0.166    0.000    0.264    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:603(_first_pass_annotation)
   106640    0.165    0.000    7.973    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/__init__.py:95(sent_tokenize)
   213300    0.156    0.000    0.220    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:271(_compile)
   229911    0.143    0.000    4.217    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1313(span_tokenize)
   106660    0.143    0.000    0.143    0.000 {method 'search' of 're.Pattern' objects}
   540064    0.135    0.000    0.137    0.000 {built-in method builtins.isinstance}
    34462    0.131    0.000    0.131    0.000 {method 'findall' of 're.Pattern' objects}
        3    0.126    0.042    0.126    0.042 {pandas._libs.writers.write_csv_rows}
       11    0.120    0.011    0.120    0.011 {built-in method builtins.sorted}
   106640    0.118    0.000   21.716    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/__init__.py:129(word_tokenize)
   106640    0.104    0.000    4.420    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1324(sentences_from_text)
        3    0.100    0.033    0.100    0.033 {built-in method scipy.sparse._sparsetools.csr_sort_indices}
   106642    0.100    0.000    0.225    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/posixpath.py:64(isabs)
