         64870380 function calls (61106257 primitive calls) in 46.589 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.429    3.429    3.429    3.429 {method 'fetchall' of 'psycopg2.extensions.cursor' objects}
   112720    3.109    0.000    3.109    0.000 {built-in method builtins.compile}
15028070/15028051    2.819    0.000    4.487    0.000 {built-in method builtins.isinstance}
        6    1.739    0.290    1.810    0.302 {pandas._libs.lib.map_infer_mask}
        1    1.734    1.734    1.734    1.734 {method 'execute' of 'psycopg2.extensions.cursor' objects}
   319921    1.581    0.000    9.394    0.000 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/utils.py:100(<lambda>)
       12    1.490    0.124    1.490    0.124 {pandas._libs.writers.write_csv_rows}
2479742/112720    1.411    0.000    1.934    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/ast.py:64(_convert)
  1229123    1.411    0.000    1.489    0.000 {method 'sub' of 're.Pattern' objects}
  4397214    1.205    0.000    1.668    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/generic.py:7(_check)
  1180612    1.204    0.000    2.597    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1886(_is_dtype_type)
   106811    1.107    0.000    1.580    0.000 {pandas._libs.lib.infer_dtype}
   322946    0.841    0.000    7.217    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/base.py:1185(__iter__)
6329204/6329202    0.701    0.000    0.701    0.000 {built-in method builtins.getattr}
109772/109770    0.683    0.000   14.667    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:194(__init__)
3034605/1641106    0.658    0.000    1.250    0.000 {built-in method builtins.len}
  1291819    0.656    0.000    1.047    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1585(internal_values)
       11    0.627    0.057    1.112    0.101 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3305(_merge_blocks)
        3    0.577    0.192    7.884    2.628 {pandas._libs.reduction.reduce}
   965165    0.568    0.000    2.559    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/base.py:231(is_dtype)
   106714    0.504    0.000    8.252    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/construction.py:630(sanitize_array)
   644156    0.498    0.000    1.361    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1743(is_extension_array_dtype)
   644180    0.497    0.000    0.712    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:83(find)
  381/273    0.486    0.001    0.488    0.002 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1183401    0.482    0.000    0.482    0.000 {built-in method builtins.hasattr}
   323054    0.456    0.000    1.251    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:416(_set_axis)
  3322781    0.443    0.000    0.443    0.000 {built-in method builtins.issubclass}
  1291819    0.443    0.000    1.489    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:559(_values)
        2    0.414    0.207    0.433    0.216 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:320(_init_dict)
   753092    0.411    0.000    0.613    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:2020(pandas_dtype)
   106824    0.411    0.000    2.579    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3195(get_block_type)
   213895    0.404    0.000    0.986    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/core/_dtype.py:319(_name_get)
   106717    0.391    0.000    2.107    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:986(maybe_cast_to_datetime)
   106708    0.364    0.000    0.875    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:866(maybe_castable)
   322946    0.356    0.000    4.176    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:814(is_datetimelike)
   115930    0.353    0.000    0.745    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/generic.py:5181(__setattr__)
